"","GEOID","X","Y"
"219",219,-43.5102637611553,-23.0277109470876
"220",220,-43.5053855000132,-23.0276649380701
"221",221,-43.5005072514188,-23.0276187787595
"222",222,-43.4956290154132,-23.0275724691575
"223",223,-43.490750792037,-23.0275260092657
"224",224,-43.4858725813314,-23.0274793990856
"225",225,-43.4809943833371,-23.0274326386187
"226",226,-43.476116198095,-23.0273857278668
"227",227,-43.4712380256462,-23.0273386668313
"228",228,-43.4663598660314,-23.0272914555139
"229",229,-43.4614817192916,-23.0272440939162
"230",230,-43.5956758327677,-23.0245813708961
"231",231,-43.5907974992836,-23.0245380004496
"232",232,-43.5859191776299,-23.0244944797118
"233",233,-43.5810408678475,-23.0244508086842
"234",234,-43.5761625699772,-23.0244069873684
"235",235,-43.57128428406,-23.0243630157657
"236",236,-43.5664060101368,-23.0243188938777
"237",237,-43.5615277482485,-23.0242746217059
"238",238,-43.5566494984359,-23.0242301992518
"239",239,-43.5517712607401,-23.024185626517
"240",240,-43.5468930352019,-23.0241409035028
"241",241,-43.5420148218621,-23.0240960302109
"242",242,-43.5371366207618,-23.0240510066428
"243",243,-43.5322584319418,-23.0240058327999
"244",244,-43.527380255443,-23.0239605086839
"245",245,-43.5225020913062,-23.0239150342963
"246",246,-43.5176239395725,-23.0238694096386
"247",247,-43.5127458002827,-23.0238236347124
"248",248,-43.5078676734777,-23.0237777095192
"249",249,-43.5029895591984,-23.0237316340606
"250",250,-43.4981114574857,-23.0236854083382
"251",251,-43.4932333683806,-23.0236390323535
"252",252,-43.4883552919237,-23.0235925061081
"253",253,-43.4834772281562,-23.0235458296036
"254",254,-43.4785991771189,-23.0234990028416
"255",255,-43.4737211388526,-23.0234520258236
"256",256,-43.4688431133983,-23.0234048985513
"257",257,-43.4639651007969,-23.0233576210263
"258",258,-43.4590871010893,-23.0233101932502
"259",259,-43.4542091143162,-23.0232626152245
"260",260,-43.4493311405188,-23.023214886951
"261",261,-43.6030336488502,-23.0207357268361
"262",262,-43.5981554382911,-23.0206925899808
"263",263,-43.5932772394995,-23.0206493028604
"264",264,-43.5883990525163,-23.0206058654765
"265",265,-43.5835208773824,-23.0205622778304
"266",266,-43.5786427141386,-23.0205185399236
"267",267,-43.573764562826,-23.0204746517577
"268",268,-43.5688864234853,-23.0204306133342
"269",269,-43.5640082961576,-23.0203864246544
"270",270,-43.5591301808836,-23.02034208572
"271",271,-43.5542520777043,-23.0202975965325
"272",272,-43.5493739866606,-23.0202529570933
"273",273,-43.5444959077934,-23.0202081674039
"274",274,-43.5396178411436,-23.020163227466
"275",275,-43.5347397867521,-23.020118137281
"276",276,-43.5298617446597,-23.0200728968504
"277",277,-43.5249837149074,-23.0200275061758
"278",278,-43.5201056975361,-23.0199819652588
"279",279,-43.5152276925866,-23.0199362741008
"280",280,-43.5103497000999,-23.0198904327035
"281",281,-43.5054717201168,-23.0198444410684
"282",282,-43.5005937526783,-23.019798299197
"283",283,-43.4957157978252,-23.019752007091
"284",284,-43.4908378555984,-23.0197055647519
"285",285,-43.4859599260389,-23.0196589721812
"286",286,-43.4810820091874,-23.0196122293807
"287",287,-43.476204105085,-23.0195653363517
"288",288,-43.4713262137724,-23.0195182930961
"289",289,-43.4664483352906,-23.0194710996152
"290",290,-43.4615704696804,-23.0194237559109
"291",291,-43.4566926169828,-23.0193762619846
"292",292,-43.4518147772386,-23.0193286178379
"293",293,-43.4469369504888,-23.0192808234726
"294",294,-43.4420591367741,-23.0192328788902
"295",295,-43.4371813361355,-23.0191847840923
"296",296,-43.4323035486139,-23.0191365390807
"297",297,-43.4274257742502,-23.0190881438568
"298",298,-43.6103910607849,-23.016889718267
"299",299,-43.6055129732167,-23.0168468149206
"300",300,-43.6006348973531,-23.0168037613354
"301",301,-43.595756833235,-23.0167605575127
"302",302,-43.5908787809033,-23.0167172034541
"303",303,-43.586000740399,-23.016673699161
"304",304,-43.5811227117629,-23.0166300446349
"305",305,-43.5762446950359,-23.0165862398773
"306",306,-43.5713666902589,-23.0165422848896
"307",307,-43.5664886974728,-23.0164981796735
"308",308,-43.5616107167184,-23.0164539242303
"309",309,-43.5567327480368,-23.0164095185615
"310",310,-43.5518547914688,-23.0163649626688
"311",311,-43.5469768470552,-23.0163202565536
"312",312,-43.542098914837,-23.0162754002173
"313",313,-43.5372209948551,-23.0162303936616
"314",314,-43.5323430871503,-23.016185236888
"315",315,-43.5274651917636,-23.016139929898
"316",316,-43.5225873087358,-23.0160944726932
"317",317,-43.5177094381078,-23.016048865275
"318",318,-43.5128315799205,-23.0160031076451
"319",319,-43.5079537342149,-23.0159571998049
"320",320,-43.5030759010317,-23.0159111417562
"321",321,-43.4981980804119,-23.0158649335003
"322",322,-43.4933202723963,-23.015818575039
"323",323,-43.4884424770259,-23.0157720663737
"324",324,-43.4835646943415,-23.0157254075061
"325",325,-43.4786869243841,-23.0156785984378
"326",326,-43.4738091671944,-23.0156316391702
"327",327,-43.4689314228134,-23.0155845297051
"328",328,-43.464053691282,-23.015537270044
"329",329,-43.459175972641,-23.0154898601886
"330",330,-43.4542982669313,-23.0154423001404
"331",331,-43.4494205741939,-23.0153945899011
"332",332,-43.4445428944695,-23.0153467294722
"333",333,-43.4396652277991,-23.0152987188555
"334",334,-43.4347875742236,-23.0152505580525
"335",335,-43.4299099337838,-23.015202247065
"336",336,-43.4250323065205,-23.0151537858944
"337",337,-43.4201546924748,-23.0151051745425
"338",338,-43.4152770916874,-23.0150564130109
"339",339,-43.4103995041992,-23.0150075013013
"340",340,-43.4055219300512,-23.0149584394154
"341",341,-43.3128506102166,-23.0139977323241
"342",342,-43.3079733114533,-23.0139456672681
"343",343,-43.3030960268884,-23.0138934520718
"344",344,-43.2982187565626,-23.0138410867371
"345",345,-43.2933415005169,-23.0137885712656
"346",346,-43.288464258792,-23.0137359056593
"347",347,-43.6177480685628,-23.0130433453777
"348",348,-43.6128701040513,-23.0130006754579
"349",349,-43.6079921511815,-23.0129578553255
"350",350,-43.6031142099945,-23.0129148849818
"351",351,-43.598236280531,-23.0128717644284
"352",352,-43.593358362832,-23.0128284936666
"353",353,-43.5884804569383,-23.0127850726981
"354",354,-43.5836025628908,-23.0127415015241
"355",355,-43.5787246807306,-23.0126977801463
"356",356,-43.5738468104983,-23.0126539085662
"357",357,-43.5689689522349,-23.0126098867851
"358",358,-43.5640911059814,-23.0125657148046
"359",359,-43.5592132717785,-23.0125213926262
"360",360,-43.5543354496673,-23.0124769202515
"361",361,-43.5494576396885,-23.0124322976818
"362",362,-43.544579841883,-23.0123875249188
"363",363,-43.5397020562919,-23.012342601964
"364",364,-43.5348242829558,-23.0122975288189
